Fno,CASno,Flag,Class,RTwax,RIwax,RIwaxl,RI5l,BP,mw,odor,OA,OW,WSrange,WLrange,OV,FW,FV,RRF
237,513860,QESROT,ketones,20.141,1289,1285,713,148,88,butter_cream_greenpepper_rancid_sour_sweat,0.259,0.59,0.59,0.8,30,8,50,9.035554612
238,100867,PESR,Alcohols,32.391,1767,1781,1158,215,150,,,,,,,,,1.125688702
239,100516,QESROT,Alcohols,34.845,1887,1866,1038,206,108,almond_boiledcherries_chemical_floral_fruit_moss_roastedbread,,2.55,0.62,10,200,5.5,900,0.980195907
240,67630,QESROT,Alcohols,9.054,942,928,516,83,60,fruit_must_solvent,65,9.79,0.25,78,270,200,200,7.196718725
241,71363,QESROT,Alcohols,15.7,1147,1147,660,118,74,alcohol_fermented_fruit_medicine_phenol_putrid_solvent_sweat,0.15,0.59,0.2,200,3,4,50,7.928478585
242,78831,QESROT,Alcohols,13.948,1094,1098,633,105,74,alcohol_apple_cocoa_fusel_malt_nailpolish_plastic_solvent_sour_wine_yeast,0.64,1,0.565,22.5,40,8,150,10.92085461
243,123513,QESROT,Alcohols,17.713,1210,1211,737,131.5,88,alcohol_banana_cheese_cocoa_floral_fruit_fusel_malt_must_nailpolish_roastedbread_yeast,0.125,0.22,0.004,4.1,2.75,0.7,50,5.188850894
244,616251,QESROT,Alcohols,16.162,1162,1159,682,114.5,86,burnt_fish_grass_green_meat_wetearth,0.66,0.358,0.358,0.4,0.4,3,3,6.384232521
245,104767,QESROT,Alcohols,25.758,1492,1490,1032,184.5,130,citrus_green_oil_rose,0.4,1.2,0.2,25.5,,,,2.171883602
246,111273,QESROT,Alcohols,22.053,1356,1351,869,158,102,bread_flower_fruit_grass_green_herb_wood,0.034,0.5,0.0056,4.8,5,2.5,4,3.536452556
247,51755830,QESROT,Sulfurcompounds,35.125,1901,1848,1126,61.5,134,blackcurrant_grapefruit_mango_rhubarb_sulfur,0.00004,0.00006,,,,0.00002,0.00015,1.579614934
248,928950,QESROT,Alcohols,23.524,1408,1400,860,159,100,bellpepper_fat_geranium_green_spice,,0.232,2.1,10,5,,8,3.815539009
249,543497,QESROT,Alcohols,21.086,1323,1312,899,161,116,citrus_coconut_fried_mushroom_oil,0.1,0.065,0.041,0.081,1.43,0.1,0.25,3.240561057
250,111875,QESROT,Alcohols,27.511,1562,1556,1071,196,130,citrus_detergent_fat_fruit_green_jasmine_lemon_metal_musty_rose_soap_sweet_urine_walnut_wax,0.022,0.126,0.042,1,1.1,0.1,0.9,2.406596007
251,589980,QESROT,Alcohols,24.678,1453,1388,987,169,130,citrus_codliveroil_moss_mushroom_nut_oil,,0.146,,,0.39,0.1,,1.663176717
252,18409171,QESROT,Alcohols,28.873,1617,1616,1067,92,128,medicine_oil_plastic_soap,,0.04,0.02,0.84,,,,2.494309489
253,31502144,QESRT,Alcohols,31.277,1719,1714,1167,92,142,,,0.21,0.13,0.21,,,,1.960462838
254,112538,QESROT,Alcohols,36.288,1973,1968,1473,258,186,fat_wax,1.2,0.073,0.016,0.82,1,0.066,0.4,1.290368503
255,35854865,QESRT,Alcohols,31.339,1722,1714,1170,115,142,,,0.001,,,,,,1.848741556
256,28069729,QESROT,Alcohols,32.514,1773,1766,1168,98,140,cucumber_metal,0.00007,0.001,2.00E-04,0.001,0.0013,,5.00E-04,2.286367272
257,105135,QESROT,Alcohols,40.504,2149,2289,1281,259,138,anise_flower_herb_sweet,,38,,,,,,0.980148453
258,104541,QESROT,Alcohols,40.563,2151,2262,1338,249.5,134,floral_honey_oil,0.00003,0.077,,,295,,,0.870726102
259,5989333,QESROT,Furans,24.709,1454,1444,1071,95,170,earth_flower_leaf_nut_root_vegetable,,0.1,0.1,0.32,35,,,1.42662583
260,34995772,QEROT,Furans,25.465,1482,1449,1086,,170,citrus_earth_flower_fresh_leaf_lemon,,0.19,0.19,0.32,6.5,,,1.42662583
261,78693,QESR,Alcohols,24.22,1436,1414,1097,197.5,158,,,,,,,,,1.663612376
262,562743,QESROT,Alcohols,28.816,1615,1599,1178,212,154,earth_floral_herb_must_nutmeg_pine_sweet_turpentine_wood,0.59,0.34,0.34,6.4,5,,,1.182557604
263,98022,QESROT,Sulfurcompounds,24.311,1439,1430,912,155,114,burnt_coffee_green_metal_roast_roasted_roastedmeat_sulfur,0.0000084,0.000036,0.000001,0.000036,0.0001,0.000005,0.000002,2.36865851
264,2563077,,,35.966,1953,,,313,,,,,,,,,,2.436201604
265,98851,QESROT,Alcohols,33.558,1822,1760,1068,204,,floral_honey_rose,0.3,0.48,0.48,1.45,1.4,,,1.161527422
266,106229,QESROT,Alcohols,32.431,1770,1764,1228,222,,citrus_floral_green_rose,0.047,0.062,0.011,1,0.7,0.01,0.008,1.826059237
267,106252,QESROT,Alcohols,33.257,1807,1795,1228,226,,floral_fruit_rose_sweet,0.049,0.68,0.29,2.2,0.5,,0.5,1.750022555
268,7212444,QESROT,Alcohols,,,2022,1567,,,fir_linoleum_pine,,2.25,0.01,2.25,,10,,0.991034385
269,4602840,QESROT,Alcohols,,,2341,1742,263,,floral_oil_phenol_sweet,,0.11,0.02,1,5,,,1.002294521
270,106241,QESROT,Alcohols,34.168,1853,1837,1256,,,floral_geranium_lemonpeel_metal_passionfruit_peach_rose,0.0007,0.0011,0.0011,0.075,0.02,0.0075,0.03,1.799578974
271,18479588,QESRO,Alcohols,25.174,1471,,,69,,,,,,,,,,1.655255478
272,470826,QESROT,Ethers,17.78,1213,,,,,,,,,,,,,1.010277449
273,75332,QEST,Sulfurcompounds,5.129,,,,55.8,,,,,,,,,,4.22430142
274,100527,QESROT,Aldehydes,26.793,1534,,,179,,,,,,,,,,1.291042923
275,2568254,QES,Epoxidespyranscoumarins,34.327,1861,,,242,,,,,,,,,,1.170843353
276,122781,QESROT,Aldehydes,29.7,1652,,,194,,,,,,,,,,1.66678949
277,104870,QERT,Aldehydes,29.957,1663,,,204.5,,,,,,,,,,0.927833707
278,123637,QEST,Epoxidespyranscoumarins,13.899,1092,,,73.5,,,,,,,,,,4.163253847
279,1599491,E,Epoxidespyranscoumarins,,,,,179,,,,,,,,,,1.437541208
280,101484,PEST,Acetals,30.766,1696,,,200,,,,,,,,,,1.159766919
281,3268493,QESROT,Sulfurcompounds,24.882,1460,,,165.5,,,,,,,,,,4.30405849
282,78842,QESROT,Aldehydes,5.901,811,820,556,67,,caramel_cocoa_floral_fresh_green_malt_nut,0.001,5.00E-04,4.00E-04,0.01,0.015,7.00E-04,0.065,8.804174822
283,94089211,E,ImportedFEMAGRASlist,,,,,,,,,,,,,,,2.586742187
284,2363895,QESROT,Aldehydes,24.269,1437,1419,1060,190,,dandelion_fat_fruit_grass_spice,,2.00E-04,,,0.5,,0.083,1.230697115
285,111717,QESROT,Aldehydes,16.962,1186,1186,903,150,,citrus_dryfish_fat_green_nut_soap_sour_sweet,0.0009,0.0028,0.00025,0.06,0.5,0.03,0.05,3.257855756
286,124130,QESROT,Aldehydes,20.199,1292,1287,1003,163,,citrus_fat_fruit_green_nut_pungent,0.00088,8.00E-04,0.00032,0.0034,0.05,0.00052,0.1,2.670972554
287,77838,ET,ImportedFEMAGRASlist,38.182,2054,,,,,,0.00001,0.025,0.025,2,0.1,,,1.076921523
288,19464950,,,39.907,2122,,,,,,,,,,,,,1.076921523
289,106230,QESROT,Aldehydes,25.535,1484,,,285,,,,,,,,,,1.67279449
290,120570,QESROT,Aldehydes,40.092,2131,,,263,,,,,,,,,,1.152101665
291,5435643,ES,ImportedFEMAGRASlist,17.833,1215,,,216,,,,,,,,,,1.893800767
292,80568,QESROT,Hydrocarbons,11.546,1021,1023,934,155.5,,cedarwood_pine_resin_sharp_turpentine,0.016,0.014,0.003,2.08,0.274,0.12,2.06,1.041126365
293,127913,QESROT,Hydrocarbons,14.405,1108,1109,978,166,,pine_polish_resin_turpentine_wood,0.18,0.14,0.6,1.5,37.95,,37.4,1.333167162
294,586629,QESROT,Hydrocarbons,20.04,1287,1284,1087,184.5,,pine_plastic_sweet,,0.2,0.041,0.2,,,,4.070624096
295,19872527,QESROT,Sulfurcompounds,22.899,1387,,,174,,,,,,,,,,2.597918632
296,87445,QESROT,Hydrocarbons,28.842,1616,1596,1420,129.5,,fried_spice_wood,1.5,0.064,0.064,1.54,,,0.16,0.780796395
297,5989275,QESROT,Hydrocarbons,17.401,1201,1205,1030,,,citrus_mint,0.424,0.2,0.034,1.2,1.8,0.21,0.31,1.036965047
298,4630073,QESRO,Hydrocarbons,31.717,1738,,,274,,,,,,,,,,1.527236674
299,79925,QESROT,Hydrocarbons,12.987,1065,1068,950,159.5,,camphor_mothball_oil_warm,28,,,,,,,1.114714849
300,13466789,QESROT,Hydrocarbons,15.768,1150,1144,1011,170,,bellpepper_lemon_pungent_resin_rubber,9.3,0.77,,,,,,
301,123353,QESROT,Hydrocarbons,16.217,1164,1161,990,165,,balsamic_fruit_geranium_herb_must,0.0445,0.0012,0.0012,0.1,0.6525,0.0166,0.45,3.055430723
302,3658773,QESROT,Furans,37.314,2022,,,215.5,,,,,,,,,,15.20786893
303,4940118,QESRO,Epoxidespyranscoumarins,37.167,2016,,,,,,,,,,,,,2.18640797
304,141786,QESROT,Esters,7.397,883,,,,,,,,,,,,,4.066397748
305,142927,QESROT,Esters,19.612,1273,,,,,,,,,,,,,2.048911104
306,928961,QESROT,Alcohols,22.834,1385,1383,856,,,bellpepper_grass_green_greenleaf_herb_unripebanana,0.013,0.0039,0.0039,3.6,1.25,0.2,13,2.51762005
307,78706,QESROT,Alcohols,27.093,1546,1542,1100,,,bergamot_coriander_floral_flower_grape_lavender_lemon_rose,0.0024,0.006,0.00022,0.05,0.07,0.0015,0.025,1.185659323
308,89781,ES,Alcohols,29.586,1647,,,,,,,,,,,,,0.945674093
309,118718,QESROT,Epoxidespyranscoumarins,36.358,1977,,,,,,,,,,,,,2.587964333
310,105373,QESROT,Esters,9.588,959,,,,,,,,,,,,,3.942460049
311,39255328,QESROT,Esters,15.399,1139,,,,,,,,,,,,,1.343965961
312,123660,QEROT,Esters,18.446,1235,,,,,,,,,,,,,1.383582766
313,60128,QESROT,Alcohols,35.397,1919,1908,1114,,,cornflakes_floral_fruit_honey_rose_sweet_sweetapple_wine_yeast,0.015,0.14,0.003,1,10,0.24,30,0.786150252
314,112312,QESROT,Aldehydes,25.995,1502,1493,1205,,,fat_floral_fried_orangepeel_penetrating_tallow,0.0026,0.003,8.00E-05,0.07,0.01,0.005,0.07,2.850430626
315,137326,QESROT,Alcohols,17.549,1205,1208,740,,,banana_fuseloil_green_malt_medicine,0.14,1.2,0.0159,4.15,32,6,50,4.134068727
316,98555,QESROT,Alcohols,30.917,1703,1691,1191,,,floral_fresh_lily_mint_oil_pine_pleasant_sweet,0.86,1.2,0.086,5,3,0.3,2,1.131526402
317,80717,QESRO,ketones,33.806,1835,,,,,,,,,,,,,2.476216884
318,79776,QESROT,ketones,36.024,1957,,,,,,,,,,,,,0.946716668
319,23696857,,ketones,33.841,1837,,,,,,,,,,,,,1.119217066
320,93583,QESROT,Esters,29.173,1630,,,,,,,,,,,,,1.373375241
321,102761,PESR,Esters,37.724,2037,,,,,,,,,,,,,2.162753329
322,150845,QESROT,Esters,29.994,1664,,,,,,,,,,,,,1.225192734
